company,date,close_usd
WDC,2023-03-09,28.3782
WDC,2023-03-16,27.0612
WDC,2023-03-23,27.0076
WDC,2023-03-30,28.5467
WDC,2023-04-06,26.9157
WDC,2023-04-14,27.1531
WDC,2023-04-21,25.6063
WDC,2023-04-28,26.372
WDC,2023-05-05,25.6139
WDC,2023-05-12,25.2923
WDC,2023-05-19,29.3431
WDC,2023-05-26,30.4074
WDC,2023-06-05,29.8638
WDC,2023-06-12,30.8669
WDC,2023-06-20,29.9557
WDC,2023-06-27,29.2588
WDC,2023-07-05,28.8377
WDC,2023-07-12,29.4196
WDC,2023-07-19,29.8102
WDC,2023-07-26,29.7719
WDC,2023-08-02,32.4826
WDC,2023-08-09,32.6051
WDC,2023-08-16,30.9511
WDC,2023-08-23,31.4335
WDC,2023-08-30,32.5592
WDC,2023-09-07,33.256
WDC,2023-09-14,33.4551
WDC,2023-09-21,34.0294
WDC,2023-09-28,35.0708
WDC,2023-10-05,35.3082
WDC,2023-10-12,34.9329
WDC,2023-10-19,32.9727
WDC,2023-10-26,29.2971
WDC,2023-11-02,32.2835
WDC,2023-11-09,33.8303
WDC,2023-11-16,35.2316
WDC,2023-11-24,35.6834
WDC,2023-12-01,37.054
WDC,2023-12-08,36.6482
WDC,2023-12-15,38.8076
WDC,2023-12-22,40.3237
WDC,2024-01-02,38.9454
WDC,2024-01-09,37.8504
WDC,2024-01-17,40.0634
WDC,2024-01-24,44.4358
WDC,2024-01-31,43.8385
WDC,2024-02-07,44.3668
WDC,2024-02-14,42.9426
WDC,2024-02-22,42.6516
WDC,2024-02-29,45.5384
WDC,2024-03-07,49.2216
WDC,2024-03-14,46.5568
WDC,2024-03-21,48.8081
WDC,2024-03-28,52.2539
WDC,2024-04-05,55.9831
WDC,2024-04-12,55.1752
WDC,2024-04-19,50.577
WDC,2024-04-26,54.643
WDC,2024-05-03,54.3291
WDC,2024-05-10,54.8268
WDC,2024-05-17,55.2097
WDC,2024-05-24,57.2848
WDC,2024-06-03,57.415
WDC,2024-06-10,59.0384
WDC,2024-06-17,61.1518
WDC,2024-06-25,58.8546
WDC,2024-07-02,59.7658
WDC,2024-07-10,61.4428
WDC,2024-07-17,54.9723
WDC,2024-07-24,55.1408
WDC,2024-07-31,51.3427
WDC,2024-08-07,43.0727
